Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date,Unnamed: 0,High,Low,Average
12:56 AM,36.0 °F,9.0 °F,32 °%,SE,2.9 °mph,5.1 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:01 AM,36.0 °F,9.0 °F,32 °%,SW,0.9 °mph,2.7 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:06 AM,36.0 °F,9.0 °F,32 °%,NNW,0.2 °mph,1.6 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:11 AM,36.1 °F,9.1 °F,32 °%,SSW,2.7 °mph,4.9 °mph,30.30 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:16 AM,36.0 °F,9.0 °F,32 °%,SSE,2.2 °mph,3.6 °mph,30.30 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:21 AM,36.1 °F,8.4 °F,31 °%,NNW,1.3 °mph,4.3 °mph,30.30 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:26 AM,35.8 °F,7.3 °F,30 °%,NNW,1.3 °mph,2.9 °mph,30.30 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:31 AM,36.0 °F,9.0 °F,32 °%,SW,0.2 °mph,1.3 °mph,30.30 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:36 AM,36.0 °F,8.2 °F,31 °%,NE,2.0 °mph,4.0 °mph,30.30 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:41 AM,36.1 °F,8.4 °F,31 °%,NNW,0.2 °mph,1.3 °mph,30.30 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:46 AM,36.1 °F,9.1 °F,32 °%,NE,1.6 °mph,5.1 °mph,30.30 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:51 AM,36.3 °F,9.3 °F,32 °%,North,1.6 °mph,3.8 °mph,30.30 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
1:56 AM,36.1 °F,9.1 °F,32 °%,ENE,0.4 °mph,2.2 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:01 AM,36.3 °F,9.3 °F,32 °%,NE,4.9 °mph,6.3 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:06 AM,36.3 °F,9.3 °F,32 °%,NE,4.9 °mph,7.6 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:11 AM,36.3 °F,8.6 °F,31 °%,NNE,0.4 °mph,2.0 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:16 AM,36.1 °F,9.1 °F,32 °%,NNE,2.0 °mph,4.0 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:21 AM,36.0 °F,9.0 °F,32 °%,NNE,4.5 °mph,6.5 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:26 AM,36.1 °F,9.1 °F,32 °%,NNE,3.1 °mph,6.3 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:31 AM,36.5 °F,9.3 °F,32 °%,NE,4.5 °mph,6.3 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:36 AM,36.3 °F,9.3 °F,32 °%,ENE,2.0 °mph,3.1 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:41 AM,36.5 °F,9.3 °F,32 °%,NNE,4.0 °mph,9.4 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:46 AM,36.7 °F,9.5 °F,32 °%,NE,4.0 °mph,10.7 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:51 AM,36.5 °F,9.3 °F,32 °%,NNE,3.1 °mph,5.8 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
2:56 AM,36.7 °F,10.2 °F,33 °%,NE,2.7 °mph,4.3 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:01 AM,36.7 °F,10.9 °F,34 °%,NE,3.6 °mph,6.9 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:06 AM,36.5 °F,10.8 °F,34 °%,NNE,0.9 °mph,2.5 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:11 AM,36.5 °F,10.8 °F,34 °%,NE,2.7 °mph,5.1 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:16 AM,36.5 °F,11.5 °F,35 °%,WNW,1.1 °mph,2.5 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:21 AM,36.5 °F,12.0 °F,36 °%,NNE,1.6 °mph,4.9 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:26 AM,36.9 °F,12.9 °F,37 °%,NE,1.3 °mph,3.6 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:31 AM,36.7 °F,12.9 °F,37 °%,NE,4.9 °mph,8.1 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:36 AM,36.9 °F,13.6 °F,38 °%,NNE,1.1 °mph,2.7 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:41 AM,36.9 °F,13.6 °F,38 °%,NNE,2.5 °mph,5.8 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:47 AM,37.0 °F,14.4 °F,39 °%,NNE,2.5 °mph,3.6 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:51 AM,36.9 °F,14.2 °F,39 °%,NNE,4.0 °mph,6.0 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
3:56 AM,36.9 °F,14.7 °F,40 °%,ENE,1.3 °mph,2.9 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:01 AM,37.0 °F,14.9 °F,40 °%,North,0.0 °mph,0.0 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:06 AM,37.0 °F,14.9 °F,40 °%,ENE,1.8 °mph,3.1 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:11 AM,37.0 °F,16.0 °F,42 °%,SSE,1.3 °mph,3.8 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:16 AM,36.9 °F,16.0 °F,42 °%,NW,1.8 °mph,3.4 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:21 AM,36.9 °F,16.5 °F,43 °%,South,1.1 °mph,2.9 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:26 AM,36.7 °F,16.9 °F,44 °%,West,2.5 °mph,4.7 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:31 AM,36.9 °F,16.9 °F,44 °%,WNW,1.1 °mph,2.9 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:36 AM,36.9 °F,16.9 °F,44 °%,SSE,1.6 °mph,2.7 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:41 AM,37.0 °F,17.6 °F,45 °%,SE,4.9 °mph,8.9 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:46 AM,37.2 °F,17.2 °F,44 °%,East,0.2 °mph,0.9 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:51 AM,36.9 °F,17.4 °F,45 °%,WNW,1.8 °mph,4.5 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
4:56 AM,36.7 °F,17.2 °F,45 °%,NW,2.5 °mph,6.0 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:01 AM,36.9 °F,17.4 °F,45 °%,WSW,0.7 °mph,3.1 °mph,30.28 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:06 AM,36.7 °F,17.2 °F,45 °%,NW,4.3 °mph,6.7 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:11 AM,36.5 °F,17.2 °F,45 °%,NW,0.7 °mph,3.1 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:16 AM,36.5 °F,17.6 °F,46 °%,,0.2 °mph,1.8 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:21 AM,36.7 °F,18.3 °F,47 °%,North,0.0 °mph,0.2 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:26 AM,36.5 °F,18.1 °F,47 °%,WNW,2.7 °mph,4.5 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:31 AM,36.5 °F,18.7 °F,48 °%,WNW,2.2 °mph,3.8 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:36 AM,36.5 °F,18.7 °F,48 °%,NW,1.1 °mph,2.5 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:41 AM,36.5 °F,18.7 °F,48 °%,SW,3.1 °mph,7.8 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:46 AM,36.7 °F,17.8 °F,46 °%,SE,6.5 °mph,12.8 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:51 AM,36.7 °F,17.8 °F,46 °%,WNW,2.0 °mph,6.3 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
5:56 AM,37.0 °F,18.1 °F,46 °%,SSE,3.4 °mph,6.3 °mph,30.26 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
6:01 AM,37.2 °F,18.3 °F,46 °%,SSE,3.8 °mph,6.0 °mph,30.26 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
6:06 AM,37.4 °F,18.5 °F,46 °%,SSW,2.5 °mph,3.4 °mph,30.26 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
6:11 AM,37.4 °F,18.5 °F,46 °%,East,2.5 °mph,6.3 °mph,30.26 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
6:16 AM,37.6 °F,19.2 °F,47 °%,ESE,3.6 °mph,7.8 °mph,30.27 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
6:21 AM,37.6 °F,19.2 °F,47 °%,South,0.2 °mph,1.6 °mph,30.26 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
6:26 AM,37.6 °F,19.2 °F,47 °%,SW,2.5 °mph,6.3 °mph,30.26 °in,0.00 °in,0.00 °in,0.0,2 w/m²,2022-03-01,,,,
6:31 AM,37.6 °F,19.2 °F,47 °%,WNW,2.9 °mph,6.0 °mph,30.26 °in,0.00 °in,0.00 °in,0.0,4 w/m²,2022-03-01,,,,
6:36 AM,37.4 °F,19.0 °F,47 °%,SSW,4.3 °mph,9.4 °mph,30.26 °in,0.00 °in,0.00 °in,0.0,5 w/m²,2022-03-01,,,,
6:41 AM,37.6 °F,19.2 °F,47 °%,West,3.8 °mph,9.6 °mph,30.26 °in,0.00 °in,0.00 °in,0.0,9 w/m²,2022-03-01,,,,
6:46 AM,37.4 °F,19.0 °F,47 °%,WSW,4.7 °mph,11.4 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,15 w/m²,2022-03-01,,,,
6:51 AM,37.4 °F,19.0 °F,47 °%,South,0.7 °mph,2.7 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,19 w/m²,2022-03-01,,,,
6:56 AM,37.8 °F,19.8 °F,48 °%,SSE,0.4 °mph,2.0 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,24 w/m²,2022-03-01,,,,
7:01 AM,37.8 °F,19.8 °F,48 °%,WSW,2.5 °mph,6.3 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,30 w/m²,2022-03-01,,,,
7:06 AM,37.8 °F,19.8 °F,48 °%,WSW,1.6 °mph,3.1 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,36 w/m²,2022-03-01,,,,
7:11 AM,37.9 °F,19.9 °F,48 °%,WSW,1.3 °mph,2.7 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,36 w/m²,2022-03-01,,,,
7:16 AM,37.9 °F,19.9 °F,48 °%,West,2.7 °mph,6.5 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,34 w/m²,2022-03-01,,,,
7:21 AM,38.3 °F,20.8 °F,49 °%,SSE,4.5 °mph,7.6 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,40 w/m²,2022-03-01,,,,
7:26 AM,38.1 °F,20.1 °F,48 °%,SSE,5.1 °mph,8.9 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,43 w/m²,2022-03-01,,,,
7:31 AM,38.3 °F,20.3 °F,48 °%,South,4.5 °mph,6.7 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,60 w/m²,2022-03-01,,,,
7:36 AM,38.3 °F,20.3 °F,48 °%,West,1.8 °mph,4.5 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,67 w/m²,2022-03-01,,,,
7:41 AM,38.1 °F,20.7 °F,49 °%,WSW,4.7 °mph,9.2 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,57 w/m²,2022-03-01,,,,
7:46 AM,38.3 °F,20.8 °F,49 °%,WSW,1.3 °mph,4.0 °mph,30.25 °in,0.00 °in,0.00 °in,0.0,74 w/m²,2022-03-01,,,,
7:51 AM,38.3 °F,20.8 °F,49 °%,NW,1.3 °mph,4.3 °mph,30.24 °in,0.00 °in,0.00 °in,0.0,79 w/m²,2022-03-01,,,,
7:57 AM,38.5 °F,21.0 °F,49 °%,NNW,2.9 °mph,6.7 °mph,30.24 °in,0.00 °in,0.00 °in,0.0,72 w/m²,2022-03-01,,,,
8:01 AM,38.5 °F,21.0 °F,49 °%,WNW,3.6 °mph,6.9 °mph,30.24 °in,0.00 °in,0.00 °in,0.0,87 w/m²,2022-03-01,,,,
8:06 AM,38.7 °F,21.2 °F,49 °%,WNW,3.1 °mph,6.5 °mph,30.24 °in,0.00 °in,0.00 °in,1.0,134 w/m²,2022-03-01,,,,
8:11 AM,39.0 °F,21.4 °F,49 °%,South,1.8 °mph,4.0 °mph,30.23 °in,0.00 °in,0.00 °in,1.0,125 w/m²,2022-03-01,,,,
8:16 AM,39.0 °F,21.4 °F,49 °%,WSW,4.7 °mph,10.3 °mph,30.23 °in,0.00 °in,0.00 °in,1.0,108 w/m²,2022-03-01,,,,
8:21 AM,39.0 °F,21.0 °F,48 °%,SSW,2.5 °mph,4.0 °mph,30.23 °in,0.00 °in,0.00 °in,0.0,100 w/m²,2022-03-01,,,,
8:26 AM,39.4 °F,21.4 °F,48 °%,East,1.6 °mph,4.5 °mph,30.23 °in,0.00 °in,0.00 °in,0.0,99 w/m²,2022-03-01,,,,
8:31 AM,39.0 °F,21.0 °F,48 °%,SSW,0.4 °mph,1.8 °mph,30.22 °in,0.00 °in,0.00 °in,1.0,121 w/m²,2022-03-01,,,,
8:36 AM,39.6 °F,21.6 °F,48 °%,SE,3.4 °mph,7.2 °mph,30.22 °in,0.00 °in,0.00 °in,1.0,120 w/m²,2022-03-01,,,,
8:41 AM,39.7 °F,21.6 °F,48 °%,NNW,3.6 °mph,9.6 °mph,30.22 °in,0.00 °in,0.00 °in,1.0,125 w/m²,2022-03-01,,,,
8:46 AM,39.6 °F,21.6 °F,48 °%,,2.0 °mph,3.6 °mph,30.22 °in,0.00 °in,0.00 °in,1.0,124 w/m²,2022-03-01,,,,
8:51 AM,39.6 °F,21.6 °F,48 °%,East,2.7 °mph,5.6 °mph,30.22 °in,0.00 °in,0.00 °in,1.0,116 w/m²,2022-03-01,,,,
8:56 AM,39.7 °F,22.1 °F,49 °%,NNW,2.7 °mph,7.6 °mph,30.22 °in,0.00 °in,0.00 °in,1.0,116 w/m²,2022-03-01,,,,
9:01 AM,39.9 °F,22.3 °F,49 °%,SE,2.0 °mph,4.0 °mph,30.22 °in,0.00 °in,0.00 °in,1.0,120 w/m²,2022-03-01,,,,
9:06 AM,39.9 °F,22.3 °F,49 °%,ESE,4.9 °mph,8.9 °mph,30.22 °in,0.00 °in,0.00 °in,1.0,124 w/m²,2022-03-01,,,,
9:11 AM,40.3 °F,22.6 °F,49 °%,,0.4 °mph,2.5 °mph,30.22 °in,0.00 °in,0.00 °in,1.0,124 w/m²,2022-03-01,,,,
9:16 AM,40.1 °F,22.5 °F,49 °%,West,2.2 °mph,5.6 °mph,30.22 °in,0.00 °in,0.00 °in,1.0,128 w/m²,2022-03-01,,,,
9:21 AM,40.1 °F,21.9 °F,48 °%,West,2.7 °mph,7.6 °mph,30.22 °in,0.00 °in,0.00 °in,1.0,119 w/m²,2022-03-01,,,,
9:26 AM,40.1 °F,22.5 °F,49 °%,West,1.6 °mph,3.1 °mph,30.21 °in,0.00 °in,0.00 °in,1.0,121 w/m²,2022-03-01,,,,
9:31 AM,40.5 °F,22.3 °F,48 °%,West,3.8 °mph,6.0 °mph,30.21 °in,0.00 °in,0.00 °in,1.0,133 w/m²,2022-03-01,,,,
9:36 AM,40.5 °F,22.8 °F,49 °%,SW,0.2 °mph,1.8 °mph,30.21 °in,0.00 °in,0.00 °in,1.0,144 w/m²,2022-03-01,,,,
9:41 AM,40.6 °F,23.0 °F,49 °%,East,2.9 °mph,4.3 °mph,30.20 °in,0.00 °in,0.00 °in,1.0,145 w/m²,2022-03-01,,,,
9:46 AM,40.6 °F,22.5 °F,48 °%,North,0.0 °mph,0.7 °mph,30.20 °in,0.00 °in,0.00 °in,1.0,145 w/m²,2022-03-01,,,,
9:51 AM,41.0 °F,23.4 °F,49 °%,SSE,2.2 °mph,5.4 °mph,30.20 °in,0.00 °in,0.00 °in,1.0,131 w/m²,2022-03-01,,,,
9:56 AM,41.2 °F,23.5 °F,49 °%,WSW,2.0 °mph,4.9 °mph,30.20 °in,0.00 °in,0.00 °in,1.0,147 w/m²,2022-03-01,,,,
10:02 AM,41.2 °F,23.5 °F,49 °%,NNE,1.8 °mph,4.5 °mph,30.20 °in,0.00 °in,0.00 °in,1.0,142 w/m²,2022-03-01,,,,
10:07 AM,41.0 °F,23.7 °F,50 °%,WSW,1.3 °mph,2.9 °mph,30.20 °in,0.00 °in,0.00 °in,1.0,121 w/m²,2022-03-01,,,,
10:11 AM,41.4 °F,24.1 °F,50 °%,SSW,3.4 °mph,7.2 °mph,30.19 °in,0.00 °in,0.00 °in,0.0,108 w/m²,2022-03-01,,,,
10:16 AM,41.4 °F,24.6 °F,51 °%,SE,2.9 °mph,4.9 °mph,30.19 °in,0.00 °in,0.00 °in,0.0,115 w/m²,2022-03-01,,,,
10:22 AM,41.4 °F,24.6 °F,51 °%,SE,5.8 °mph,13.9 °mph,30.19 °in,0.00 °in,0.00 °in,1.0,128 w/m²,2022-03-01,,,,
10:26 AM,41.4 °F,25.0 °F,52 °%,SW,4.3 °mph,8.9 °mph,30.19 °in,0.00 °in,0.00 °in,1.0,140 w/m²,2022-03-01,,,,
10:31 AM,41.4 °F,25.0 °F,52 °%,SSW,2.0 °mph,3.6 °mph,30.19 °in,0.00 °in,0.00 °in,1.0,144 w/m²,2022-03-01,,,,
10:36 AM,41.2 °F,24.4 °F,51 °%,West,4.3 °mph,6.7 °mph,30.19 °in,0.00 °in,0.00 °in,1.0,157 w/m²,2022-03-01,,,,
10:41 AM,41.2 °F,24.8 °F,52 °%,SW,8.3 °mph,14.5 °mph,30.19 °in,0.00 °in,0.00 °in,1.0,169 w/m²,2022-03-01,,,,
10:46 AM,41.0 °F,25.2 °F,53 °%,NW,1.8 °mph,4.7 °mph,30.18 °in,0.00 °in,0.00 °in,1.0,169 w/m²,2022-03-01,,,,
10:51 AM,41.4 °F,25.5 °F,53 °%,West,0.9 °mph,3.1 °mph,30.18 °in,0.00 °in,0.00 °in,1.0,193 w/m²,2022-03-01,,,,
10:57 AM,41.7 °F,25.9 °F,53 °%,South,0.9 °mph,2.2 °mph,30.18 °in,0.00 °in,0.00 °in,1.0,248 w/m²,2022-03-01,,,,
11:01 AM,41.9 °F,26.1 °F,53 °%,North,0.9 °mph,2.9 °mph,30.18 °in,0.00 °in,0.00 °in,1.0,247 w/m²,2022-03-01,,,,
11:07 AM,42.3 °F,25.9 °F,52 °%,NNW,2.2 °mph,6.7 °mph,30.17 °in,0.00 °in,0.00 °in,1.0,241 w/m²,2022-03-01,,,,
11:11 AM,42.3 °F,25.9 °F,52 °%,WNW,2.9 °mph,7.4 °mph,30.17 °in,0.00 °in,0.00 °in,1.0,238 w/m²,2022-03-01,,,,
11:16 AM,42.3 °F,26.4 °F,53 °%,SW,0.9 °mph,2.9 °mph,30.17 °in,0.00 °in,0.00 °in,1.0,222 w/m²,2022-03-01,,,,
11:21 AM,42.4 °F,26.4 °F,53 °%,NE,2.7 °mph,6.5 °mph,30.17 °in,0.00 °in,0.00 °in,1.0,226 w/m²,2022-03-01,,,,
11:26 AM,42.8 °F,26.8 °F,53 °%,ESE,4.9 °mph,11.0 °mph,30.16 °in,0.00 °in,0.00 °in,1.0,199 w/m²,2022-03-01,,,,
11:31 AM,42.8 °F,26.8 °F,53 °%,ESE,2.9 °mph,7.2 °mph,30.16 °in,0.00 °in,0.00 °in,1.0,228 w/m²,2022-03-01,,,,
11:36 AM,42.8 °F,26.8 °F,53 °%,SE,2.5 °mph,6.7 °mph,30.16 °in,0.00 °in,0.00 °in,1.0,208 w/m²,2022-03-01,,,,
11:42 AM,42.8 °F,26.8 °F,53 °%,SW,2.2 °mph,6.7 °mph,30.15 °in,0.00 °in,0.00 °in,1.0,194 w/m²,2022-03-01,,,,
11:46 AM,43.0 °F,27.0 °F,53 °%,North,2.0 °mph,4.3 °mph,30.15 °in,0.00 °in,0.00 °in,1.0,203 w/m²,2022-03-01,,,,
11:51 AM,43.0 °F,27.5 °F,54 °%,South,2.5 °mph,6.3 °mph,30.15 °in,0.00 °in,0.00 °in,1.0,197 w/m²,2022-03-01,,,,
11:57 AM,43.2 °F,27.7 °F,54 °%,WNW,1.3 °mph,3.4 °mph,30.14 °in,0.00 °in,0.00 °in,1.0,230 w/m²,2022-03-01,,,,
12:01 PM,43.3 °F,27.9 °F,54 °%,SSE,4.7 °mph,9.4 °mph,30.14 °in,0.00 °in,0.00 °in,1.0,234 w/m²,2022-03-01,,,,
12:06 PM,43.5 °F,28.0 °F,54 °%,ESE,6.9 °mph,11.9 °mph,30.14 °in,0.00 °in,0.00 °in,1.0,246 w/m²,2022-03-01,,,,
12:12 PM,43.7 °F,28.2 °F,54 °%,South,1.6 °mph,2.9 °mph,30.14 °in,0.00 °in,0.00 °in,1.0,286 w/m²,2022-03-01,,,,
12:16 PM,43.7 °F,28.2 °F,54 °%,ESE,4.7 °mph,10.3 °mph,30.13 °in,0.00 °in,0.00 °in,1.0,286 w/m²,2022-03-01,,,,
12:21 PM,43.5 °F,28.0 °F,54 °%,SE,3.6 °mph,8.7 °mph,30.13 °in,0.00 °in,0.00 °in,1.0,296 w/m²,2022-03-01,,,,
12:27 PM,43.5 °F,28.0 °F,54 °%,SSW,3.1 °mph,5.8 °mph,30.12 °in,0.00 °in,0.00 °in,1.0,292 w/m²,2022-03-01,,,,
12:32 PM,43.7 °F,28.6 °F,55 °%,SE,4.5 °mph,11.0 °mph,30.11 °in,0.00 °in,0.00 °in,1.0,297 w/m²,2022-03-01,,,,
12:36 PM,43.9 °F,28.8 °F,55 °%,SSW,2.5 °mph,6.3 °mph,30.11 °in,0.00 °in,0.00 °in,1.0,285 w/m²,2022-03-01,,,,
12:42 PM,43.7 °F,28.9 °F,56 °%,East,2.5 °mph,5.4 °mph,30.10 °in,0.00 °in,0.00 °in,1.0,278 w/m²,2022-03-01,,,,
12:47 PM,44.1 °F,28.9 °F,55 °%,ENE,2.9 °mph,5.8 °mph,30.09 °in,0.00 °in,0.00 °in,1.0,309 w/m²,2022-03-01,,,,
12:51 PM,44.1 °F,28.9 °F,55 °%,NW,1.8 °mph,6.9 °mph,30.09 °in,0.00 °in,0.00 °in,2.0,368 w/m²,2022-03-01,,,,
12:57 PM,43.9 °F,29.1 °F,56 °%,West,3.1 °mph,4.7 °mph,30.09 °in,0.00 °in,0.00 °in,2.0,351 w/m²,2022-03-01,,,,
